Index,Title,Year,Synopsis,Image Filename,URL
64,Ask Dr. Ruth,2019,"Ask Dr. Ruth chronicles the incredible life of Dr. Ruth Westheimer, a Holocaust survivor who became America's most famous sex",ask_dr_ruth.jpg,https://www.rottentomatoes.com/m/ask_dr_ruth/
65,Diana Vreeland: The Eye Has To Travel,2012,"During Diana Vreeland's fifty year reign as the ""Empress of Fashion,"" she launched Twiggy, advised Jackie Onassis, and established countless",diana_vreeland_the_eye_has_to_travel_2012.jpg,https://www.rottentomatoes.com/m/diana_vreeland_the_eye_has_to_travel_2012/
66,Raise Hell: The Life & Times of Molly Ivins,2019,"RAISE HELL is a documentary about the celebrated national political columnist and Texan, Molly Ivins who used her razor sharp",raise_hell_the_life_and_times_of_molly_ivins.jpg,https://www.rottentomatoes.com/m/raise_hell_the_life_and_times_of_molly_ivins/
67,Princess Cyd,2017,16-year-old Cyd (Jessie Pinnick) decides to take a break from her depressive single father and spend a summer in Chicago,princess_cyd.jpg,https://www.rottentomatoes.com/m/princess_cyd/
68,Sorry to Bother You,2018,"In an alternate present-day version of Oakland, black telemarketer Cassius Green (Lakeith Stanfield) discovers a magical key to professional success,",sorry_to_bother_you_2018.jpg,https://www.rottentomatoes.com/m/sorry_to_bother_you_2018/
69,Fighting with My Family,2019,FIGHTING WITH MY FAMILY is a heartwarming comedy based on the incredible true story of WWE Superstar Paige(TM). Born into,fighting_with_my_family.jpg,https://www.rottentomatoes.com/m/fighting_with_my_family/
70,50/50,2011,"Inspired by a true story, 50/50 is an original story about friendship, love, survival and finding humor in unlikely places.",5050_2011.jpg,https://www.rottentomatoes.com/m/5050_2011/
71,The Host,2007,When a young girl is snatched away from her father by a horrifying giant monster that emerges from the River,the_host_2007.jpg,https://www.rottentomatoes.com/m/the_host_2007/
72,Thelma,2017,"Thelma, a shy young student, has just left her religious family in a small town on the west coast of",thelma_2017.jpg,https://www.rottentomatoes.com/m/thelma_2017/
73,"Lo and Behold, Reveries of the Connected World",2016,Society depends on the Internet for nearly everything but rarely do we step back and recognize its endless intricacies and,lo_and_behold_reveries_of_the_connected_world.jpg,https://www.rottentomatoes.com/m/lo_and_behold_reveries_of_the_connected_world/
74,Nobody Knows (Dare mo shiranai),2004,Four siblings live happily with their mother in a small apartment in Tokyo. The children all have different fathers and,nobody_knows.jpg,https://www.rottentomatoes.com/m/nobody_knows/
75,Diane,2019,"For Diane (Mary Kay Place), everyone else comes first. Generous but with little patience for self-pity, she spends her days",diane_2019.jpg,https://www.rottentomatoes.com/m/diane_2019/
